day,year,high,low,rain,snow,date,day_num,month_num,dow,dow_name,month
February 28,2005,34,29,0.5,4.8,2005-02-28,28,2,0,Monday,February
March 1,2005,39,29,0.05,1.0,2005-03-01,1,3,1,Tuesday,March
March 2,2005,36,26,0.0,0.0,2005-03-02,2,3,2,Wednesday,March
March 3,2005,35,23,0.0,0.0,2005-03-03,3,3,3,Thursday,March
March 4,2005,36,21,0.0,0.0,2005-03-04,4,3,4,Friday,March
March 5,2005,41,26,0.0,0.0,2005-03-05,5,3,5,Saturday,March
March 6,2005,51,27,0.0,0.0,2005-03-06,6,3,6,Sunday,March
March 7,2005,69,34,0.0,0.0,2005-03-07,7,3,0,Monday,March
March 8,2005,54,21,0.24,0.5,2005-03-08,8,3,1,Tuesday,March
March 9,2005,33,18,0.0,0.0,2005-03-09,9,3,2,Wednesday,March
March 10,2005,35,22,0.0,0.0,2005-03-10,10,3,3,Thursday,March
March 11,2005,51,30,0.05,0.0,2005-03-11,11,3,4,Friday,March
March 12,2005,47,31,0.03,0.0,2005-03-12,12,3,5,Saturday,March
March 13,2005,47,32,0.0,0.0,2005-03-13,13,3,6,Sunday,March
March 14,2005,41,32,0.0,0.0,2005-03-14,14,3,0,Monday,March
March 15,2005,46,28,0.0,0.0,2005-03-15,15,3,1,Tuesday,March
March 16,2005,46,27,0.0,0.0,2005-03-16,16,3,2,Wednesday,March
March 17,2005,46,33,0.0,0.0,2005-03-17,17,3,3,Thursday,March
March 18,2005,54,28,0.0,0.0,2005-03-18,18,3,4,Friday,March
March 19,2005,55,31,0.0,0.0,2005-03-19,19,3,5,Saturday,March
March 20,2005,47,38,0.26,0.0,2005-03-20,20,3,6,Sunday,March
March 21,2005,47,39,0.0,0.0,2005-03-21,21,3,0,Monday,March
March 22,2005,56,29,0.0,0.0,2005-03-22,22,3,1,Tuesday,March
March 23,2005,43,36,1.36,0.0,2005-03-23,23,3,2,Wednesday,March
March 24,2005,45,34,0.0,0.0,2005-03-24,24,3,3,Thursday,March
March 25,2005,49,40,0.0,0.0,2005-03-25,25,3,4,Friday,March
March 26,2005,51,38,0.0,0.0,2005-03-26,26,3,5,Saturday,March
March 27,2005,52,40,0.11,0.0,2005-03-27,27,3,6,Sunday,March
March 28,2005,52,40,1.55,0.0,2005-03-28,28,3,0,Monday,March
March 29,2005,58,45,0.0,0.0,2005-03-29,29,3,1,Tuesday,March
March 30,2005,62,38,0.0,0.0,2005-03-30,30,3,2,Wednesday,March
March 31,2005,56,35,0.01,0.0,2005-03-31,31,3,3,Thursday,March
April 1,2005,62,44,0.07,0.0,2005-04-01,1,4,4,Friday,April
April 2,2005,62,44,2.76,0.0,2005-04-02,2,4,5,Saturday,April
April 3,2005,47,39,0.02,0.0,2005-04-03,3,4,6,Sunday,April
April 4,2005,62,41,0.0,0.0,2005-04-04,4,4,0,Monday,April
April 5,2005,67,40,0.0,0.0,2005-04-05,5,4,1,Tuesday,April
April 6,2005,77,44,0.0,0.0,2005-04-06,6,4,2,Wednesday,April
April 7,2005,75,60,0.11,0.0,2005-04-07,7,4,3,Thursday,April
April 8,2005,63,45,0.7,0.0,2005-04-08,8,4,4,Friday,April
April 9,2005,64,44,0.0,0.0,2005-04-09,9,4,5,Saturday,April
April 10,2005,74,41,0.0,0.0,2005-04-10,10,4,6,Sunday,April
April 11,2005,65,41,0.0,0.0,2005-04-11,11,4,0,Monday,April
April 12,2005,60,38,0.0,0.0,2005-04-12,12,4,1,Tuesday,April
April 13,2005,60,41,0.0,0.0,2005-04-13,13,4,2,Wednesday,April
April 14,2005,66,40,0.0,0.0,2005-04-14,14,4,3,Thursday,April
April 15,2005,57,39,0.0,0.0,2005-04-15,15,4,4,Friday,April
April 16,2005,60,38,0.0,0.0,2005-04-16,16,4,5,Saturday,April
April 17,2005,75,38,0.0,0.0,2005-04-17,17,4,6,Sunday,April
April 18,2005,76,46,0.0,0.0,2005-04-18,18,4,0,Monday,April
April 19,2005,84,47,0.0,0.0,2005-04-19,19,4,1,Tuesday,April
April 20,2005,86,57,0.0,0.0,2005-04-20,20,4,2,Wednesday,April
April 21,2005,74,48,0.0,0.0,2005-04-21,21,4,3,Thursday,April
April 22,2005,53,43,0.01,0.0,2005-04-22,22,4,4,Friday,April
April 23,2005,68,48,0.37,0.0,2005-04-23,23,4,5,Saturday,April
April 24,2005,55,44,0.0,0.0,2005-04-24,24,4,6,Sunday,April
April 25,2005,58,40,0.0,0.0,2005-04-25,25,4,0,Monday,April
April 26,2005,71,44,0.0,0.0,2005-04-26,26,4,1,Tuesday,April
April 27,2005,67,53,0.06,0.0,2005-04-27,27,4,2,Wednesday,April
April 28,2005,66,50,0.0,0.0,2005-04-28,28,4,3,Thursday,April
April 29,2005,62,48,0.0,0.0,2005-04-29,29,4,4,Friday,April
April 30,2005,64,51,1.22,0.0,2005-04-30,30,4,5,Saturday,April
May 1,2005,65,50,0.06,0.0,2005-05-01,1,5,6,Sunday,May
May 2,2005,65,42,0.0,0.0,2005-05-02,2,5,0,Monday,May
May 3,2005,60,37,0.0,0.0,2005-05-03,3,5,1,Tuesday,May
May 4,2005,60,46,0.0,0.0,2005-05-04,4,5,2,Wednesday,May
May 5,2005,65,41,0.0,0.0,2005-05-05,5,5,3,Thursday,May
May 6,2005,56,46,0.0,0.0,2005-05-06,6,5,4,Friday,May
May 7,2005,70,47,0.0,0.0,2005-05-07,7,5,5,Saturday,May
May 8,2005,73,46,0.0,0.0,2005-05-08,8,5,6,Sunday,May
May 9,2005,76,49,0.0,0.0,2005-05-09,9,5,0,Monday,May
May 10,2005,73,49,0.0,0.0,2005-05-10,10,5,1,Tuesday,May
May 11,2005,79,50,0.0,0.0,2005-05-11,11,5,2,Wednesday,May
May 12,2005,73,53,0.0,0.0,2005-05-12,12,5,3,Thursday,May
May 13,2005,66,47,0.0,0.0,2005-05-13,13,5,4,Friday,May
May 14,2005,80,52,0.0,0.0,2005-05-14,14,5,5,Saturday,May
May 15,2005,76,60,0.0,0.0,2005-05-15,15,5,6,Sunday,May
May 16,2005,71,58,0.0,0.0,2005-05-16,16,5,0,Monday,May
May 17,2005,67,52,0.0,0.0,2005-05-17,17,5,1,Tuesday,May
May 18,2005,72,48,0.0,0.0,2005-05-18,18,5,2,Wednesday,May
May 19,2005,74,50,0.0,0.0,2005-05-19,19,5,3,Thursday,May
May 20,2005,57,48,1.02,0.0,2005-05-20,20,5,4,Friday,May
May 21,2005,73,45,0.0,0.0,2005-05-21,21,5,5,Saturday,May
May 22,2005,66,51,0.03,0.0,2005-05-22,22,5,6,Sunday,May
May 23,2005,65,53,0.01,0.0,2005-05-23,23,5,0,Monday,May
May 24,2005,61,49,0.01,0.0,2005-05-24,24,5,1,Tuesday,May
May 25,2005,55,50,0.07,0.0,2005-05-25,25,5,2,Wednesday,May
May 26,2005,65,53,0.02,0.0,2005-05-26,26,5,3,Thursday,May
May 27,2005,83,50,0.0,0.0,2005-05-27,27,5,4,Friday,May
May 28,2005,80,56,0.05,0.0,2005-05-28,28,5,5,Saturday,May
May 29,2005,76,53,0.0,0.0,2005-05-29,29,5,6,Sunday,May
May 30,2005,77,53,0.0,0.0,2005-05-30,30,5,0,Monday,May
May 31,2005,80,53,0.0,0.0,2005-05-31,31,5,1,Tuesday,May
June 1,2005,77,55,0.0,0.0,2005-06-01,1,6,2,Wednesday,June
June 2,2005,75,54,0.0,0.0,2005-06-02,2,6,3,Thursday,June
June 3,2005,63,56,0.97,0.0,2005-06-03,3,6,4,Friday,June
June 4,2005,76,61,0.01,0.0,2005-06-04,4,6,5,Saturday,June
June 5,2005,88,61,0.0,0.0,2005-06-05,5,6,6,Sunday,June
June 6,2005,89,67,0.87,0.0,2005-06-06,6,6,0,Monday,June
June 7,2005,89,68,0.0,0.0,2005-06-07,7,6,1,Tuesday,June
June 8,2005,94,68,0.0,0.0,2005-06-08,8,6,2,Wednesday,June
June 9,2005,89,69,0.0,0.0,2005-06-09,9,6,3,Thursday,June
June 10,2005,86,72,0.22,0.0,2005-06-10,10,6,4,Friday,June
June 11,2005,88,70,0.0,0.0,2005-06-11,11,6,5,Saturday,June
June 12,2005,87,70,0.0,0.0,2005-06-12,12,6,6,Sunday,June
June 13,2005,90,71,0.0,0.0,2005-06-13,13,6,0,Monday,June
June 14,2005,94,77,0.0,0.0,2005-06-14,14,6,1,Tuesday,June
June 15,2005,89,77,0.0,0.0,2005-06-15,15,6,2,Wednesday,June
June 16,2005,84,64,0.32,0.0,2005-06-16,16,6,3,Thursday,June
June 17,2005,77,62,0.0,0.0,2005-06-17,17,6,4,Friday,June
June 18,2005,77,60,0.0,0.0,2005-06-18,18,6,5,Saturday,June
June 19,2005,73,59,0.0,0.0,2005-06-19,19,6,6,Sunday,June
June 20,2005,76,58,0.0,0.0,2005-06-20,20,6,0,Monday,June
June 21,2005,83,58,0.0,0.0,2005-06-21,21,6,1,Tuesday,June
June 22,2005,85,65,0.34,0.0,2005-06-22,22,6,2,Wednesday,June
June 23,2005,81,62,0.0,0.0,2005-06-23,23,6,3,Thursday,June
June 24,2005,85,64,0.0,0.0,2005-06-24,24,6,4,Friday,June
June 25,2005,90,67,0.0,0.0,2005-06-25,25,6,5,Saturday,June
June 26,2005,89,69,0.0,0.0,2005-06-26,26,6,6,Sunday,June
June 27,2005,77,71,0.57,0.0,2005-06-27,27,6,0,Monday,June
June 28,2005,90,72,0.0,0.0,2005-06-28,28,6,1,Tuesday,June
June 29,2005,83,74,0.01,0.0,2005-06-29,29,6,2,Wednesday,June
June 30,2005,88,72,0.0,0.0,2005-06-30,30,6,3,Thursday,June
July 1,2005,88,70,0.28,0.0,2005-07-01,1,7,4,Friday,July
July 2,2005,85,69,0.06,0.0,2005-07-02,2,7,5,Saturday,July
July 3,2005,83,64,0.0,0.0,2005-07-03,3,7,6,Sunday,July
July 4,2005,87,62,0.0,0.0,2005-07-04,4,7,0,Monday,July
July 5,2005,86,70,0.38,0.0,2005-07-05,5,7,1,Tuesday,July
July 6,2005,87,70,0.2,0.0,2005-07-06,6,7,2,Wednesday,July
July 7,2005,74,66,0.1,0.0,2005-07-07,7,7,3,Thursday,July
July 8,2005,69,64,1.83,0.0,2005-07-08,8,7,4,Friday,July
July 9,2005,86,62,0.0,0.0,2005-07-09,9,7,5,Saturday,July
July 10,2005,91,66,0.0,0.0,2005-07-10,10,7,6,Sunday,July
July 11,2005,92,68,0.0,0.0,2005-07-11,11,7,0,Monday,July
July 12,2005,92,71,0.42,0.0,2005-07-12,12,7,1,Tuesday,July
July 13,2005,86,70,0.0,0.0,2005-07-13,13,7,2,Wednesday,July
July 14,2005,85,73,0.0,0.0,2005-07-14,14,7,3,Thursday,July
July 15,2005,90,74,0.0,0.0,2005-07-15,15,7,4,Friday,July
July 16,2005,85,74,0.51,0.0,2005-07-16,16,7,5,Saturday,July
July 17,2005,87,74,0.28,0.0,2005-07-17,17,7,6,Sunday,July
July 18,2005,92,75,0.0,0.0,2005-07-18,18,7,0,Monday,July
July 19,2005,92,77,0.0,0.0,2005-07-19,19,7,1,Tuesday,July
July 20,2005,90,76,0.0,0.0,2005-07-20,20,7,2,Wednesday,July
July 21,2005,93,71,0.0,0.0,2005-07-21,21,7,3,Thursday,July
July 22,2005,93,76,0.0,0.0,2005-07-22,22,7,4,Friday,July
July 23,2005,88,75,0.0,0.0,2005-07-23,23,7,5,Saturday,July
July 24,2005,88,66,0.0,0.0,2005-07-24,24,7,6,Sunday,July
July 25,2005,92,71,0.1,0.0,2005-07-25,25,7,0,Monday,July
July 26,2005,97,74,0.0,0.0,2005-07-26,26,7,1,Tuesday,July
July 27,2005,98,72,0.15,0.0,2005-07-27,27,7,2,Wednesday,July
July 28,2005,83,68,0.0,0.0,2005-07-28,28,7,3,Thursday,July
July 29,2005,85,67,0.0,0.0,2005-07-29,29,7,4,Friday,July
July 30,2005,85,71,0.0,0.0,2005-07-30,30,7,5,Saturday,July
July 31,2005,85,69,0.0,0.0,2005-07-31,31,7,6,Sunday,July
August 1,2005,86,69,0.0,0.0,2005-08-01,1,8,0,Monday,August
August 2,2005,95,72,0.0,0.0,2005-08-02,2,8,1,Tuesday,August
August 3,2005,96,77,0.0,0.0,2005-08-03,3,8,2,Wednesday,August
August 4,2005,96,76,0.0,0.0,2005-08-04,4,8,3,Thursday,August
August 5,2005,96,78,0.0,0.0,2005-08-05,5,8,4,Friday,August
August 6,2005,90,74,0.0,0.0,2005-08-06,6,8,5,Saturday,August
August 7,2005,85,72,0.01,0.0,2005-08-07,7,8,6,Sunday,August
August 8,2005,89,70,1.06,0.0,2005-08-08,8,8,0,Monday,August
August 9,2005,81,70,0.25,0.0,2005-08-09,9,8,1,Tuesday,August
August 10,2005,88,72,0.0,0.0,2005-08-10,10,8,2,Wednesday,August
August 11,2005,92,74,0.0,0.0,2005-08-11,11,8,3,Thursday,August
August 12,2005,97,76,0.0,0.0,2005-08-12,12,8,4,Friday,August
August 13,2005,96,78,0.0,0.0,2005-08-13,13,8,5,Saturday,August
August 14,2005,95,75,0.05,0.0,2005-08-14,14,8,6,Sunday,August
August 15,2005,84,72,0.01,0.0,2005-08-15,15,8,0,Monday,August
August 16,2005,76,68,0.33,0.0,2005-08-16,16,8,1,Tuesday,August
August 17,2005,86,66,0.0,0.0,2005-08-17,17,8,2,Wednesday,August
August 18,2005,86,69,0.0,0.0,2005-08-18,18,8,3,Thursday,August
August 19,2005,79,70,0.1,0.0,2005-08-19,19,8,4,Friday,August
August 20,2005,86,71,0.0,0.0,2005-08-20,20,8,5,Saturday,August
August 21,2005,93,76,0.0,0.0,2005-08-21,21,8,6,Sunday,August
August 22,2005,89,66,0.0,0.0,2005-08-22,22,8,0,Monday,August
August 23,2005,83,66,0.0,0.0,2005-08-23,23,8,1,Tuesday,August
August 24,2005,83,66,0.0,0.0,2005-08-24,24,8,2,Wednesday,August
August 25,2005,84,63,0.0,0.0,2005-08-25,25,8,3,Thursday,August
August 26,2005,83,65,0.0,0.0,2005-08-26,26,8,4,Friday,August
August 27,2005,85,69,0.54,0.0,2005-08-27,27,8,5,Saturday,August
August 28,2005,84,72,0.01,0.0,2005-08-28,28,8,6,Sunday,August
August 29,2005,89,70,0.2,0.0,2005-08-29,29,8,0,Monday,August
August 30,2005,86,75,0.01,0.0,2005-08-30,30,8,1,Tuesday,August
August 31,2005,89,73,0.0,0.0,2005-08-31,31,8,2,Wednesday,August
September 1,2005,86,68,0.0,0.0,2005-09-01,1,9,3,Thursday,September
September 2,2005,88,66,0.0,0.0,2005-09-02,2,9,4,Friday,September
September 3,2005,82,67,0.0,0.0,2005-09-03,3,9,5,Saturday,September
September 4,2005,83,64,0.0,0.0,2005-09-04,4,9,6,Sunday,September
September 5,2005,84,64,0.0,0.0,2005-09-05,5,9,0,Monday,September
September 6,2005,84,63,0.0,0.0,2005-09-06,6,9,1,Tuesday,September
September 7,2005,84,60,0.0,0.0,2005-09-07,7,9,2,Wednesday,September
September 8,2005,86,59,0.0,0.0,2005-09-08,8,9,3,Thursday,September
September 9,2005,83,65,0.0,0.0,2005-09-09,9,9,4,Friday,September
September 10,2005,84,63,0.0,0.0,2005-09-10,10,9,5,Saturday,September
September 11,2005,83,60,0.0,0.0,2005-09-11,11,9,6,Sunday,September
September 12,2005,89,64,0.0,0.0,2005-09-12,12,9,0,Monday,September
September 13,2005,92,66,0.0,0.0,2005-09-13,13,9,1,Tuesday,September
September 14,2005,80,68,0.03,0.0,2005-09-14,14,9,2,Wednesday,September
September 15,2005,88,74,0.03,0.0,2005-09-15,15,9,3,Thursday,September
September 16,2005,90,74,0.0,0.0,2005-09-16,16,9,4,Friday,September
September 17,2005,86,72,0.01,0.0,2005-09-17,17,9,5,Saturday,September
September 18,2005,83,65,0.0,0.0,2005-09-18,18,9,6,Sunday,September
September 19,2005,87,66,0.0,0.0,2005-09-19,19,9,0,Monday,September
September 20,2005,84,69,0.0,0.0,2005-09-20,20,9,1,Tuesday,September
September 21,2005,86,65,0.0,0.0,2005-09-21,21,9,2,Wednesday,September
September 22,2005,86,60,0.0,0.0,2005-09-22,22,9,3,Thursday,September
September 23,2005,89,70,0.0,0.0,2005-09-23,23,9,4,Friday,September
September 24,2005,76,63,0.0,0.0,2005-09-24,24,9,5,Saturday,September
September 25,2005,80,64,0.0,0.0,2005-09-25,25,9,6,Sunday,September
September 26,2005,83,66,0.09,0.0,2005-09-26,26,9,0,Monday,September
September 27,2005,77,61,0.0,0.0,2005-09-27,27,9,1,Tuesday,September
September 28,2005,79,55,0.0,0.0,2005-09-28,28,9,2,Wednesday,September
September 29,2005,75,55,0.05,0.0,2005-09-29,29,9,3,Thursday,September
September 30,2005,68,48,0.0,0.0,2005-09-30,30,9,4,Friday,September
October 1,2005,77,50,0.0,0.0,2005-10-01,1,10,5,Saturday,October
October 2,2005,81,53,0.0,0.0,2005-10-02,2,10,6,Sunday,October
October 3,2005,80,53,0.0,0.0,2005-10-03,3,10,0,Monday,October
October 4,2005,73,63,0.0,0.0,2005-10-04,4,10,1,Tuesday,October
October 5,2005,82,60,0.0,0.0,2005-10-05,5,10,2,Wednesday,October
October 6,2005,81,64,0.0,0.0,2005-10-06,6,10,3,Thursday,October
October 7,2005,78,69,0.51,0.0,2005-10-07,7,10,4,Friday,October
October 8,2005,76,60,5.53,0.0,2005-10-08,8,10,5,Saturday,October
October 9,2005,61,54,0.03,0.0,2005-10-09,9,10,6,Sunday,October
October 10,2005,65,59,0.02,0.0,2005-10-10,10,10,0,Monday,October
October 11,2005,67,59,0.46,0.0,2005-10-11,11,10,1,Tuesday,October
October 12,2005,60,56,0.04,0.0,2005-10-12,12,10,2,Wednesday,October
October 13,2005,63,57,0.3,0.0,2005-10-13,13,10,3,Thursday,October
October 14,2005,65,60,0.05,0.0,2005-10-14,14,10,4,Friday,October
October 15,2005,76,56,0.0,0.0,2005-10-15,15,10,5,Saturday,October
October 16,2005,66,52,0.0,0.0,2005-10-16,16,10,6,Sunday,October
October 17,2005,65,48,0.0,0.0,2005-10-17,17,10,0,Monday,October
October 18,2005,75,52,0.0,0.0,2005-10-18,18,10,1,Tuesday,October
October 19,2005,74,47,0.0,0.0,2005-10-19,19,10,2,Wednesday,October
October 20,2005,62,51,0.0,0.0,2005-10-20,20,10,3,Thursday,October
October 21,2005,53,50,0.14,0.0,2005-10-21,21,10,4,Friday,October
October 22,2005,56,50,0.77,0.0,2005-10-22,22,10,5,Saturday,October
October 23,2005,62,46,0.0,0.0,2005-10-23,23,10,6,Sunday,October
October 24,2005,55,43,0.44,0.0,2005-10-24,24,10,0,Monday,October
October 25,2005,51,41,0.37,0.0,2005-10-25,25,10,1,Tuesday,October
October 26,2005,54,41,0.02,0.0,2005-10-26,26,10,2,Wednesday,October
October 27,2005,53,42,0.0,0.0,2005-10-27,27,10,3,Thursday,October
October 28,2005,53,37,0.0,0.0,2005-10-28,28,10,4,Friday,October
October 29,2005,50,40,0.0,0.0,2005-10-29,29,10,5,Saturday,October
October 30,2005,67,38,0.0,0.0,2005-10-30,30,10,6,Sunday,October
October 31,2005,71,38,0.0,0.0,2005-10-31,31,10,0,Monday,October
November 1,2005,70,44,0.0,0.0,2005-11-01,1,11,1,Tuesday,November
November 2,2005,60,43,0.0,0.0,2005-11-02,2,11,2,Wednesday,November
November 3,2005,67,40,0.0,0.0,2005-11-03,3,11,3,Thursday,November
November 4,2005,67,44,0.0,0.0,2005-11-04,4,11,4,Friday,November
November 5,2005,72,47,0.0,0.0,2005-11-05,5,11,5,Saturday,November
November 6,2005,74,45,0.06,0.0,2005-11-06,6,11,6,Sunday,November
November 7,2005,62,47,0.0,0.0,2005-11-07,7,11,0,Monday,November
November 8,2005,65,44,0.0,0.0,2005-11-08,8,11,1,Tuesday,November
November 9,2005,69,53,0.0,0.0,2005-11-09,9,11,2,Wednesday,November
November 10,2005,69,43,0.29,0.0,2005-11-10,10,11,3,Thursday,November
November 11,2005,49,38,0.0,0.0,2005-11-11,11,11,4,Friday,November
November 12,2005,58,33,0.0,0.0,2005-11-12,12,11,5,Saturday,November
November 13,2005,65,41,0.0,0.0,2005-11-13,13,11,6,Sunday,November
November 14,2005,67,50,0.0,0.0,2005-11-14,14,11,0,Monday,November
November 15,2005,71,53,0.0,0.0,2005-11-15,15,11,1,Tuesday,November
November 16,2005,76,45,0.78,0.0,2005-11-16,16,11,2,Wednesday,November
November 17,2005,46,33,0.0,0.0,2005-11-17,17,11,3,Thursday,November
November 18,2005,40,29,0.0,0.0,2005-11-18,18,11,4,Friday,November
November 19,2005,48,29,0.0,0.0,2005-11-19,19,11,5,Saturday,November
November 20,2005,59,34,0.0,0.0,2005-11-20,20,11,6,Sunday,November
November 21,2005,51,40,0.41,0.0,2005-11-21,21,11,0,Monday,November
November 22,2005,48,36,0.62,0.0,2005-11-22,22,11,1,Tuesday,November
November 23,2005,37,29,0.0,0.0,2005-11-23,23,11,2,Wednesday,November
November 24,2005,51,24,0.0,0.0,2005-11-24,24,11,3,Thursday,November
November 25,2005,34,22,0.0,0.0,2005-11-25,25,11,4,Friday,November
November 26,2005,42,25,0.0,0.0,2005-11-26,26,11,5,Saturday,November
November 27,2005,53,31,0.0,0.0,2005-11-27,27,11,6,Sunday,November
November 28,2005,69,47,0.0,0.0,2005-11-28,28,11,0,Monday,November
November 29,2005,69,57,0.53,0.0,2005-11-29,29,11,1,Tuesday,November
November 30,2005,63,39,0.17,0.0,2005-11-30,30,11,2,Wednesday,November
December 1,2005,46,36,0.0,0.0,2005-12-01,1,12,3,Thursday,December
December 2,2005,42,31,0.0,0.0,2005-12-02,2,12,4,Friday,December
December 3,2005,35,26,0.0,0.0,2005-12-03,3,12,5,Saturday,December
December 4,2005,39,29,0.28,0.6,2005-12-04,4,12,6,Sunday,December
December 5,2005,36,30,0.03,0.7,2005-12-05,5,12,0,Monday,December
December 6,2005,37,26,0.17,3.3,2005-12-06,6,12,1,Tuesday,December
December 7,2005,34,23,0.0,0.0,2005-12-07,7,12,2,Wednesday,December
December 8,2005,32,20,0.0,0.0,2005-12-08,8,12,3,Thursday,December
December 9,2005,36,25,0.48,2.2,2005-12-09,9,12,4,Friday,December
December 10,2005,35,22,0.0,0.0,2005-12-10,10,12,5,Saturday,December
December 11,2005,40,25,0.0,0.0,2005-12-11,11,12,6,Sunday,December
December 12,2005,39,25,0.0,0.0,2005-12-12,12,12,0,Monday,December
December 13,2005,28,17,0.0,0.0,2005-12-13,13,12,1,Tuesday,December
December 14,2005,24,15,0.0,0.0,2005-12-14,14,12,2,Wednesday,December
December 15,2005,47,17,0.55,0.2,2005-12-15,15,12,3,Thursday,December
December 16,2005,53,34,0.63,0.0,2005-12-16,16,12,4,Friday,December
December 17,2005,42,28,0.0,0.0,2005-12-17,17,12,5,Saturday,December
December 18,2005,42,29,0.0,0.0,2005-12-18,18,12,6,Sunday,December
December 19,2005,39,23,0.0,0.0,2005-12-19,19,12,0,Monday,December
December 20,2005,36,19,0.0,0.0,2005-12-20,20,12,1,Tuesday,December
December 21,2005,34,23,0.0,0.0,2005-12-21,21,12,2,Wednesday,December
December 22,2005,38,26,0.0,0.0,2005-12-22,22,12,3,Thursday,December
December 23,2005,51,30,0.0,0.0,2005-12-23,23,12,4,Friday,December
