"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","CWB32","Adolescents (15-year-olds) who feel like they belong in school (%)","2015","2015",76,,
"AUT","Austria","CWB35A","Reading performance at age 15 (PISA)","2015","2015",484.9,,
"AUT","Austria","CWB35B","Mathematics performance at age 15 (PISA)","2015","2015",496.7,,
"AUT","Austria","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2015","2015",59.4,,
"AUT","Austria","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2018","2018",70.1,,
"AUT","Austria","CWB42","Adolescents (15-year-olds) who do unpaid work in the home, before or after school (%) ","2015","2015",74.5,,
"AUT","Austria","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",39.7,,
"AUT","Austria","CWB44B","Adolescents (15-year-olds) reporting low life satisfaction (%)","2015","2015",11.1,,
"AUT","Austria","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014",60,,
"AUT","Austria","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",60,,
"AUT","Austria","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",60,,
"AUT","Austria","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",60,,
"AUT","Austria","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",60,,
"AUT","Austria","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",8.7,,
"AUT","Austria","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",8.7,,
"AUT","Austria","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",8.7,,
"AUT","Austria","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",8.7,,
"AUT","Austria","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",8.7,,
"BEL","Belgium","CWB1A","Children (0-17) living with two parents (%)","2014","2014",74.5,,
"BEL","Belgium","CWB1A","Children (0-17) living with two parents (%)","2015","2015",73.8,,
"BEL","Belgium","CWB1A","Children (0-17) living with two parents (%)","2016","2016",76.1,,
"BEL","Belgium","CWB1A","Children (0-17) living with two parents (%)","2017","2017",73.8,,
"BEL","Belgium","CWB1A","Children (0-17) living with two parents (%)","2018","2018",73.6,,
"BEL","Belgium","CWB1B","Children (0-17) living with a single parent (%)","2014","2014",23.6,,
"BEL","Belgium","CWB1B","Children (0-17) living with a single parent (%)","2015","2015",25,,
"BEL","Belgium","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",22.9,,
"BEL","Belgium","CWB1B","Children (0-17) living with a single parent (%)","2017","2017",24.6,,
"BEL","Belgium","CWB1B","Children (0-17) living with a single parent (%)","2018","2018",24.9,,
"BEL","Belgium","CWB1C","Children (0-17) living in 'other' types of household (%)","2014","2014",1.9,,
"BEL","Belgium","CWB1C","Children (0-17) living in 'other' types of household (%)","2015","2015",1.2,,
"BEL","Belgium","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",1,,
"BEL","Belgium","CWB1C","Children (0-17) living in 'other' types of household (%)","2017","2017",1.7,,
"BEL","Belgium","CWB1C","Children (0-17) living in 'other' types of household (%)","2018","2018",1.5,,
"BEL","Belgium","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2014","2014",62.7,,
"BEL","Belgium","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2015","2015",62.6,,
"BEL","Belgium","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2016","2016",62.6,,
"BEL","Belgium","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2017","2017",60.7,,
"BEL","Belgium","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2018","2018",65.9,,
"BEL","Belgium","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2014","2014",24.4,,
"BEL","Belgium","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2015","2015",24.3,,
"BEL","Belgium","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2016","2016",24.7,,
"BEL","Belgium","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2017","2017",27.2,,
"BEL","Belgium","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2018","2018",22.6,,
"BEL","Belgium","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2014","2014",12.9,,
"BEL","Belgium","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2015","2015",13.2,,
"BEL","Belgium","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2016","2016",12.7,,
"BEL","Belgium","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2017","2017",12.1,,
"BEL","Belgium","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2018","2018",11.5,,
"BEL","Belgium","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",95.1,,
"BEL","Belgium","CWB9","Children (0-17) in overcrowded households (%)","2014","2014",3.3,,
"BEL","Belgium","CWB9","Children (0-17) in overcrowded households (%)","2015","2015",3.7,,
"BEL","Belgium","CWB9","Children (0-17) in overcrowded households (%)","2016","2016",7.2,,
"BEL","Belgium","CWB9","Children (0-17) in overcrowded households (%)","2017","2017",8.7,,
"BEL","Belgium","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",22.3,,
"BEL","Belgium","CWB17A","Adolescents (15-year-olds) who report doing no physical activity outside of school (%)","2015","2015",7.2,,
"BEL","Belgium","CWB17B","Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%)","2015","2015",45.1,,
"BEL","Belgium","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2015","2015",98.6,,
"BEL","Belgium","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2016","2016",98.7,,
"BEL","Belgium","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2017","2017",98.4,,
"BEL","Belgium","CWB27","Adolescents (15-year-olds) with parents interested in and supportive of their education (%)","2015","2015",91.2,,
"BEL","Belgium","CWB29","Adolescents (15-year-olds) who want top grades at school (%)","2015","2015",72.1,,
"BEL","Belgium","CWB31","Adolescents (15-year-olds) who expect to complete a university degree (%)","2015","2015",32.9,,
"BEL","Belgium","CWB32","Adolescents (15-year-olds) who feel like they belong in school (%)","2015","2015",62,,
"BEL","Belgium","CWB35A","Reading performance at age 15 (PISA)","2015","2015",498.5,,
"BEL","Belgium","CWB35B","Mathematics performance at age 15 (PISA)","2015","2015",507,,
"BEL","Belgium","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2015","2015",59.5,,
"BEL","Belgium","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2018","2018",74.9,,
"BEL","Belgium","CWB42","Adolescents (15-year-olds) who do unpaid work in the home, before or after school (%) ","2015","2015",71.8,,
"BEL","Belgium","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",32.8,,
"BEL","Belgium","CWB44B","Adolescents (15-year-olds) reporting low life satisfaction (%)","2015","2015",8.3,,
"BEL","Belgium","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014",32.3,,
"BEL","Belgium","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",32.3,,
"BEL","Belgium","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",32.3,,
"BEL","Belgium","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",32.3,,
"BEL","Belgium","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",32.3,,
"BEL","Belgium","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",19.3,,
"BEL","Belgium","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",19.3,,
"BEL","Belgium","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",19.3,,
"BEL","Belgium","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",19.3,,
"BEL","Belgium","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",19.3,,
"CAN","Canada","CWB1A","Children (0-17) living with two parents (%)","2016","2016",79.5,,
"CAN","Canada","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",19.2,,
"CAN","Canada","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",1.9,,
"CAN","Canada","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",96.5,,
"CAN","Canada","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",24.9,,
"CAN","Canada","CWB17A","Adolescents (15-year-olds) who report doing no physical activity outside of school (%)","2015","2015",4.8,,
"CAN","Canada","CWB17B","Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%)","2015","2015",58.7,,
"CAN","Canada","CWB27","Adolescents (15-year-olds) with parents interested in and supportive of their education (%)","2015","2015",91.1,,
"CAN","Canada","CWB29","Adolescents (15-year-olds) who want top grades at school (%)","2015","2015",88.7,,
"CAN","Canada","CWB31","Adolescents (15-year-olds) who expect to complete a university degree (%)","2015","2015",63.5,,
"CAN","Canada","CWB32","Adolescents (15-year-olds) who feel like they belong in school (%)","2015","2015",71.6,,
"CAN","Canada","CWB35A","Reading performance at age 15 (PISA)","2015","2015",526.7,,
"CAN","Canada","CWB35B","Mathematics performance at age 15 (PISA)","2015","2015",515.6,,
"CAN","Canada","CWB42","Adolescents (15-year-olds) who do unpaid work in the home, before or after school (%) ","2015","2015",72.9,,
"CAN","Canada","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014",52,,
"CAN","Canada","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",52,,
"CAN","Canada","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",52,,
"CAN","Canada","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",51,,
"CAN","Canada","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",51,,
"CAN","Canada","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",0,,
"CAN","Canada","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",0,,
"CAN","Canada","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",0,,
"CAN","Canada","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",0,,
"CAN","Canada","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",0,,
"CZE","Czech Republic","CWB1A","Children (0-17) living with two parents (%)","2014","2014",84.2,,
"CZE","Czech Republic","CWB1A","Children (0-17) living with two parents (%)","2015","2015",84.9,,
"CZE","Czech Republic","CWB1A","Children (0-17) living with two parents (%)","2016","2016",86.4,,
"CZE","Czech Republic","CWB1A","Children (0-17) living with two parents (%)","2017","2017",85.7,,
"CZE","Czech Republic","CWB1A","Children (0-17) living with two parents (%)","2018","2018",85.9,,
"CZE","Czech Republic","CWB1B","Children (0-17) living with a single parent (%)","2014","2014",14.8,,
"CZE","Czech Republic","CWB1B","Children (0-17) living with a single parent (%)","2015","2015",14.6,,
"CZE","Czech Republic","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",13,,
"CZE","Czech Republic","CWB1B","Children (0-17) living with a single parent (%)","2017","2017",13.7,,
"CZE","Czech Republic","CWB1B","Children (0-17) living with a single parent (%)","2018","2018",13.6,,
"CZE","Czech Republic","CWB1C","Children (0-17) living in 'other' types of household (%)","2014","2014",1.1,,
"CZE","Czech Republic","CWB1C","Children (0-17) living in 'other' types of household (%)","2015","2015",0.6,,
"CZE","Czech Republic","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",0.6,,
"CZE","Czech Republic","CWB1C","Children (0-17) living in 'other' types of household (%)","2017","2017",0.6,,
"CZE","Czech Republic","CWB1C","Children (0-17) living in 'other' types of household (%)","2018","2018",0.4,,
"CZE","Czech Republic","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2014","2014",55.5,,
"CZE","Czech Republic","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2015","2015",55.1,,
"CZE","Czech Republic","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2016","2016",61,,
"CZE","Czech Republic","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2017","2017",60.6,,
"CZE","Czech Republic","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2018","2018",61.4,,
"CZE","Czech Republic","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2014","2014",35.7,,
"CZE","Czech Republic","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2015","2015",35.7,,
"CZE","Czech Republic","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2016","2016",31.7,,
"CZE","Czech Republic","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2017","2017",33,,
"CZE","Czech Republic","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2018","2018",32.3,,
"CZE","Czech Republic","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2014","2014",8.7,,
"CZE","Czech Republic","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2015","2015",9.2,,
"CZE","Czech Republic","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2016","2016",7.3,,
"CZE","Czech Republic","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2017","2017",6.4,,
"CZE","Czech Republic","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2018","2018",6.4,,
"CZE","Czech Republic","CWB8A","Adolescents (15-year-olds) who report talking to their parents before or after school (%)","2015","2015",96.4,,
"CZE","Czech Republic","CWB9","Children (0-17) in overcrowded households (%)","2014","2014",30.6,,
"CZE","Czech Republic","CWB9","Children (0-17) in overcrowded households (%)","2015","2015",29.4,,
"CZE","Czech Republic","CWB9","Children (0-17) in overcrowded households (%)","2016","2016",28.9,,
"CZE","Czech Republic","CWB9","Children (0-17) in overcrowded households (%)","2017","2017",25.5,,
"CZE","Czech Republic","CWB16","Adolescents (15-year-olds) skipping either breakfast or dinner (%)","2015","2015",31.3,,
"CZE","Czech Republic","CWB17A","Adolescents (15-year-olds) who report doing no physical activity outside of school (%)","2015","2015",3.3,,
"CZE","Czech Republic","CWB17B","Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%)","2015","2015",56.5,,
"CZE","Czech Republic","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2014","2014",80.5,,
"CZE","Czech Republic","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2015","2015",84.6,,
"CZE","Czech Republic","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2016","2016",86.6,,
"CZE","Czech Republic","CWB22","Children (3-5 year-olds) enrolled in pre-primary education or primary school (%)","2017","2017",87.7,,
"CZE","Czech Republic","CWB27","Adolescents (15-year-olds) with parents interested in and supportive of their education (%)","2015","2015",87.9,,
"CZE","Czech Republic","CWB29","Adolescents (15-year-olds) who want top grades at school (%)","2015","2015",81.1,,
"CZE","Czech Republic","CWB31","Adolescents (15-year-olds) who expect to complete a university degree (%)","2015","2015",55.6,,
"CZE","Czech Republic","CWB32","Adolescents (15-year-olds) who feel like they belong in school (%)","2015","2015",70.9,,
"CZE","Czech Republic","CWB35A","Reading performance at age 15 (PISA)","2015","2015",487.3,,
"CZE","Czech Republic","CWB35B","Mathematics performance at age 15 (PISA)","2015","2015",492.3,,
"CZE","Czech Republic","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2015","2015",60.8,,
"CZE","Czech Republic","CWB40","Adolescents (15-year-olds) who are high or extreme internet users (%)","2018","2018",63.7,,
"CZE","Czech Republic","CWB42","Adolescents (15-year-olds) who do unpaid work in the home, before or after school (%) ","2015","2015",76.5,,
"CZE","Czech Republic","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",30.6,,
"CZE","Czech Republic","CWB44B","Adolescents (15-year-olds) reporting low life satisfaction (%)","2015","2015",13.8,,
"CZE","Czech Republic","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2014","2014",110,,
"CZE","Czech Republic","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2015","2015",110,,
"CZE","Czech Republic","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2016","2016",110,,
"CZE","Czech Republic","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2017","2017",110,,
"CZE","Czech Republic","CWB50A","Length of paid maternity and parental leave available to mothers in weeks","2018","2018",63.3,,
"CZE","Czech Republic","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014",0,,
"CZE","Czech Republic","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015",0,,
"CZE","Czech Republic","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016",0,,
"CZE","Czech Republic","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017",0,,
"CZE","Czech Republic","CWB50B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018",1,,
"DNK","Denmark","CWB1A","Children (0-17) living with two parents (%)","2014","2014",73,,
"DNK","Denmark","CWB1A","Children (0-17) living with two parents (%)","2015","2015",72.7,,
"DNK","Denmark","CWB1A","Children (0-17) living with two parents (%)","2016","2016",75.7,,
"DNK","Denmark","CWB1A","Children (0-17) living with two parents (%)","2017","2017",78.5,,
"DNK","Denmark","CWB1A","Children (0-17) living with two parents (%)","2018","2018",78.2,,
"DNK","Denmark","CWB1B","Children (0-17) living with a single parent (%)","2014","2014",22.3,,
"DNK","Denmark","CWB1B","Children (0-17) living with a single parent (%)","2015","2015",25.8,,
"DNK","Denmark","CWB1B","Children (0-17) living with a single parent (%)","2016","2016",23.5,,
"DNK","Denmark","CWB1B","Children (0-17) living with a single parent (%)","2017","2017",20.4,,
"DNK","Denmark","CWB1B","Children (0-17) living with a single parent (%)","2018","2018",20.6,,
"DNK","Denmark","CWB1C","Children (0-17) living in 'other' types of household (%)","2014","2014",4.7,,
"DNK","Denmark","CWB1C","Children (0-17) living in 'other' types of household (%)","2015","2015",1.5,,
"DNK","Denmark","CWB1C","Children (0-17) living in 'other' types of household (%)","2016","2016",0.8,,
"DNK","Denmark","CWB1C","Children (0-17) living in 'other' types of household (%)","2017","2017",1.1,,
"DNK","Denmark","CWB1C","Children (0-17) living in 'other' types of household (%)","2018","2018",1.2,,
"DNK","Denmark","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2014","2014",77,,
"DNK","Denmark","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2015","2015",78.6,,
"DNK","Denmark","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2016","2016",79,,
"DNK","Denmark","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2017","2017",77.6,,
"DNK","Denmark","CWB2A","Children (0-14) in households where all adults are in employment (working) (%)","2018","2018",78.6,,
"DNK","Denmark","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2014","2014",14.1,,
"DNK","Denmark","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2015","2015",12.6,,
"DNK","Denmark","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2016","2016",12.3,,
"DNK","Denmark","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2017","2017",12.7,,
"DNK","Denmark","CWB2B","Children (0-14) in households where at least one adult is in employment and one adult is not in employment (working) (%)","2018","2018",13.3,,
"DNK","Denmark","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2014","2014",8.9,,
"DNK","Denmark","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2015","2015",8.8,,
"DNK","Denmark","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2016","2016",8.7,,
"DNK","Denmark","CWB2C","Children (0-14) in households with all adults not in employment (jobless) (%)","2017","2017",9.6,,
